sequence,mean,worst,prob_catastrophic,prob_degraded,prob_rejected,prob_shortage,var01,cvar01,var05,cvar05,var10,cvar10,var25,cvar25,wowa_mild,wowa_balanced,wowa_severe,robust20,viol_catastrophic,viol_degraded,viol_rejected,viol_shortage,violation_score,feasible
standard|standard|strong|gentle,294.9228265216001,9840.679060000002,0.004752,0.24000000000000002,0.24361152000000003,0.24361152000000003,804.2902600000001,4923.500738944002,804.2902600000001,1628.1323557888004,799.0705,1213.936093850752,92.29556000000005,946.9558672655361,689.4633235704582,927.3503699242636,1627.3184771742817,1006.503296925376,0.0,0.0,0.0,0.0,0.0,True
standard|standard|strong|standard,305.07433580799994,9845.25982,0.004752,0.24000000000000002,0.24000000000000002,0.24000000000000002,819.55582,4845.917332096,819.55582,1624.8281224192,813.5935,1219.593086548864,92.29132,957.5612364159999,696.0637410325083,931.3132487349077,1615.65235499312,1016.593293274432,0.0,0.0,0.0,0.0,0.0,True
standard|standard|strong|strong,278.86174080000006,854.6914800000001,0.0,0.24000000000000002,0.24000000000000002,0.24000000000000002,842.09148,843.5284848,842.09148,842.3788809600001,835.0590000000001,838.91584992,108.13848000000002,807.7069397760001,423.14860978493033,504.5220867697177,671.2325820414436,836.98742496,0.0,0.0,0.0,0.0,0.0,True
standard|standard|strong|protect,260.3467308800001,9837.440660000002,0.016632,0.05280000000000001,0.05641152000000001,0.05641152000000001,9094.517160000001,9476.091991968004,786.5366600000001,3626.8314076640004,92.19050000000001,1967.3610398933124,92.19050000000001,842.258715957325,955.831286130526,1405.4225655429414,2778.0724595174884,1029.7757699466563,0.0,0.0,0.0,0.0,0.0,True
standard|standard|protect|gentle,759.5050255104002,9363.428240000001,0.07809600000000001,0.0,0.03348,0.03348,9329.803600000001,9342.305914316801,9075.952640000001,9245.239608535041,66.02664000000003,7186.148009786882,56.20200000000001,2908.8832657179655,2468.6172755290922,3381.721681970804,5677.691991610182,3622.0535821474564,0.0,0.0,0.0,0.0,0.0,True
standard|standard|protect|standard,363.259259904,9368.008999999998,0.03348,0.0,0.016632,0.016632,9321.774,9342.188116800002,76.10100000000001,6194.745549599998,73.51800000000001,3134.4267823295995,70.72500000000001,1296.3045806630398,1367.7419682770328,2008.3840950433873,3900.8690267673173,1602.6994758287997,0.0,0.0,0.0,0.0,0.0,True
standard|standard|protect|strong,260.3467308800001,9837.440660000002,0.016632,0.05280000000000001,0.05641152000000001,0.05641152000000001,9094.517160000001,9476.091991968004,786.5366600000001,3626.8314076640004,92.19050000000001,1967.3610398933124,92.19050000000001,842.258715957325,955.831286130526,1405.4225655429414,2778.0724595174884,1029.7757699466563,0.0,0.0,0.0,0.0,0.0,True
standard|standard|protect|protect,2328.658799296001,9360.189840000001,0.25108800000000003,0.0,0.12021600000000002,0.12021600000000002,9329.858,9341.828622540803,9311.39984,9323.5271105792,9293.724,9312.2025675648,9051.068000000001,9177.437033216002,4803.413407141498,5798.3799873365,7727.451067300796,9209.02929152,0.0010880000000000334,0.0,0.0,0.0,1088.0000000000334,False
standard|strong|gentle|gentle,391.0530496768,9836.0983,0.016632,0.24000000000000002,0.24361152000000003,0.24361152000000003,9092.3558,9474.257550560002,789.0247,3627.9832747167998,784.5475,2207.13771784288,784.5475,1353.583587137152,1134.138213962465,1596.7877538201274,2960.883896158119,1495.8426089214402,0.0,0.0,0.0,0.0,0.0,True
standard|strong|gentle|standard,294.9228265216001,9840.679060000002,0.004752,0.24000000000000002,0.24361152000000003,0.24361152000000003,804.2902600000001,4923.500738944002,804.2902600000001,1628.1323557888004,799.0705,1213.936093850752,92.29556000000004,946.9558672655361,689.4633235704582,927.3503699242636,1627.3184771742817,1006.503296925376,0.0,0.0,0.0,0.0,0.0,True
standard|strong|gentle|strong,310.5213117696,9850.11072,0.004752,0.24000000000000002,0.24000000000000002,0.24000000000000002,826.82592,4851.298369536001,826.82592,1631.7204099072003,820.5360000000001,1226.531484432384,97.51392,964.4581453824001,701.8784119392149,937.2981343236013,1621.911641542001,1023.533742216192,0.0,0.0,0.0,0.0,0.0,True
standard|strong|gentle|protect,368.3914914944001,9372.8599,0.03348,0.0,0.016632,0.016632,9324.5774,9345.808813280002,81.2711,6198.2894772704,77.6675,3139.40016885152,77.6675,1302.3605675406081,1367.847290323193,1996.2371368141671,3844.9803300393955,1608.53383442576,0.0,0.0,0.0,0.0,0.0,True
standard|strong|standard|gentle,294.9228265216001,9840.679060000002,0.004752,0.24000000000000002,0.24361152000000003,0.24361152000000003,804.2902600000001,4923.500738944002,804.2902600000001,1628.1323557888004,799.0705,1213.936093850752,92.29556000000004,946.9558672655361,689.4633235704582,927.3503699242636,1627.3184771742817,1006.503296925376,0.0,0.0,0.0,0.0,0.0,True
standard|strong|standard|standard,305.07433580799994,9845.25982,0.004752,0.24000000000000002,0.24000000000000002,0.24000000000000002,819.5558199999999,4845.917332096,819.5558199999999,1624.8281224192,813.5935,1219.593086548864,92.29132,957.5612364159999,696.0637410325083,931.3132487349077,1615.65235499312,1016.593293274432,0.0,0.0,0.0,0.0,0.0,True
standard|strong|standard|strong,278.86174080000006,854.6914800000001,0.0,0.24000000000000002,0.24000000000000002,0.24000000000000002,842.09148,843.5284848,842.09148,842.3788809600001,835.0590000000001,838.91584992,108.13848000000002,807.7069397760001,423.14860978493033,504.52208676971776,671.2325820414436,836.98742496,0.0,0.0,0.0,0.0,0.0,True
standard|strong|standard|protect,260.3467308800001,9837.440660000002,0.016632,0.05280000000000001,0.05641152000000001,0.05641152000000001,9094.517160000001,9476.091991968004,786.5366600000001,3626.8314076640004,92.19050000000001,1967.3610398933124,92.19050000000001,842.258715957325,955.831286130526,1405.4225655429414,2778.0724595174884,1029.7757699466563,0.0,0.0,0.0,0.0,0.0,True
standard|strong|strong|gentle,310.5213117696,9850.11072,0.004752,0.24000000000000002,0.24000000000000002,0.24000000000000002,826.82592,4851.298369536001,826.82592,1631.7204099072003,820.5360000000001,1226.531484432384,97.51392,964.4581453824001,701.8784119392149,937.2981343236013,1621.911641542001,1023.533742216192,0.0,0.0,0.0,0.0,0.0,True
standard|strong|strong|standard,278.86174080000006,854.6914800000001,0.0,0.24000000000000002,0.24000000000000002,0.24000000000000002,842.09148,843.5284848,842.09148,842.3788809600001,835.0590000000001,838.91584992,108.13848000000002,807.7069397760001,423.14860978493033,504.52208676971776,671.2325820414436,836.98742496,0.0,0.0,0.0,0.0,0.0,True
standard|strong|strong|strong,295.4195408,864.62714,0.0,0.24000000000000002,0.24000000000000002,0.24000000000000002,864.62714,864.6271400000002,864.62714,864.6271399999998,856.5245000000001,860.80269392,123.98564,828.9342231680001,441.34290268082106,524.259718580126,694.0145665782688,858.6635969600002,0.0,0.0,0.0,0.0,0.0,True
standard|strong|strong|protect,298.65081568000005,9846.87232,0.004752,0.24000000000000002,0.24361152000000003,0.24361152000000003,809.07232,4928.912087296,809.07232,1633.0402734592,803.6560000000001,1218.7180488816641,97.26032000000001,951.6296408576002,699.5162634398894,948.3752543185407,1676.9589803626204,1011.1870244408323,0.0,0.0,0.0,0.0,0.0,True
standard|strong|protect|gentle,368.3914914944001,9372.8599,0.03348,0.0,0.016632,0.016632,9324.5774,9345.808813280002,81.2711,6198.2894772704,77.6675,3139.40016885152,77.6675,1302.3605675406081,1367.847290323193,1996.2371368141671,3844.9803300393955,1608.53383442576,0.0,0.0,0.0,0.0,0.0,True
standard|strong|protect|standard,260.3467308800001,9837.440660000002,0.016632,0.05280000000000001,0.05641152000000001,0.05641152000000001,9094.517160000001,9476.091991968004,786.5366600000001,3626.8314076640004,92.19050000000001,1967.3610398933124,92.19050000000001,842.258715957325,955.831286130526,1405.4225655429414,2778.0724595174884,1029.7757699466563,0.0,0.0,0.0,0.0,0.0,True
standard|strong|protect|strong,298.65081568000005,9846.87232,0.004752,0.24000000000000002,0.24361152000000003,0.24361152000000003,809.07232,4928.912087296,809.07232,1633.0402734592,803.6560000000001,1218.7180488816641,97.26032000000002,951.6296408576002,699.5162634398894,948.3752543185407,1676.9589803626204,1011.1870244408323,0.0,0.0,0.0,0.0,0.0,True
standard|strong|protect|protect,768.6132357120001,9369.6215,0.07809600000000001,0.0,0.055128,0.055128,9336.0355,9348.064760320001,9311.231,9325.98149744,72.5335,7241.517812656,60.787500000000016,2934.0093304992006,2488.378805935804,3407.0392939152334,5712.4202653076845,3652.314788124,0.0,0.0,0.0,0.0,0.0,True
standard|protect|gentle|gentle,1623.1418086272004,9358.84748,0.17433600000000005,0.0,0.055128,0.055128,9327.7462,9340.006059673602,9308.38728,9321.041962790401,9063.82028,9206.94651310976,47.28600000000002,6390.758167987202,3926.0230941710956,4950.857665380687,7115.567551092613,7976.626209984001,0.0,0.0,0.0,0.0,0.0,True
standard|protect|gentle|standard,759.5050255104002,9363.428240000001,0.07809600000000001,0.0,0.03348,0.03348,9329.803600000001,9342.305914316801,9075.952640000001,9245.239608535041,66.02664000000001,7186.148009786882,56.20200000000001,2908.8832657179655,2468.6172755290922,3381.721681970804,5677.691991610182,3622.0535821474564,0.0,0.0,0.0,0.0,0.0,True
standard|protect|gentle|strong,368.3914914944001,9372.8599,0.03348,0.0,0.016632,0.016632,9324.5774,9345.808813280002,81.2711,6198.2894772704,77.6675,3139.40016885152,77.6675,1302.3605675406081,1367.847290323193,1996.2371368141671,3844.9803300393955,1608.53383442576,0.0,0.0,0.0,0.0,0.0,True
standard|protect|gentle|protect,3088.2292076799995,9355.60908,0.3325200000000001,0.0,0.25108800000000003,0.25108800000000003,9327.8006,9339.528767897602,9313.83448,9323.9940482944,9296.3076,9312.4156562496,9286.026,9298.577006361604,5665.925199822661,6567.97092462073,8188.596006898988,9301.714757952,0.0825200000000001,0.0,0.0,0.0,82520.00000000009,False
standard|protect|standard|gentle,759.5050255104002,9363.428240000001,0.07809600000000001,0.0,0.03348,0.03348,9329.803600000001,9342.305914316801,9075.952640000001,9245.239608535041,66.02664000000001,7186.148009786882,56.20200000000001,2908.8832657179655,2468.6172755290922,3381.721681970804,5677.691991610182,3622.0535821474564,0.0,0.0,0.0,0.0,0.0,True
standard|protect|standard|standard,363.259259904,9368.008999999998,0.03348,0.0,0.016632,0.016632,9321.774,9342.188116800002,76.10100000000001,6194.745549599998,73.51800000000001,3134.4267823295995,70.72500000000001,1296.3045806630398,1367.7419682770328,2008.3840950433873,3900.8690267673173,1602.6994758287997,0.0,0.0,0.0,0.0,0.0,True
standard|protect|standard|strong,260.3467308800001,9837.440660000002,0.016632,0.05280000000000001,0.05641152000000001,0.05641152000000001,9094.517160000001,9476.091991968004,786.5366600000001,3626.8314076640004,92.19050000000001,1967.3610398933124,92.19050000000001,842.258715957325,955.831286130526,1405.4225655429414,2778.0724595174884,1029.7757699466563,0.0,0.0,0.0,0.0,0.0,True
standard|protect|standard|protect,2328.658799296001,9360.189840000001,0.25108800000000003,0.0,0.12021600000000002,0.12021600000000002,9329.858,9341.828622540803,9311.39984,9323.5271105792,9293.724,9312.2025675648,9051.068000000001,9177.437033216002,4803.413407141498,5798.3799873365,7727.451067300796,9209.02929152,0.0010880000000000334,0.0,0.0,0.0,1088.0000000000334,False
standard|protect|strong|gentle,368.3914914944001,9372.8599,0.03348,0.0,0.016632,0.016632,9324.5774,9345.808813280002,81.2711,6198.2894772704,77.6675,3139.40016885152,77.6675,1302.3605675406081,1367.847290323193,1996.2371368141671,3844.9803300393955,1608.53383442576,0.0,0.0,0.0,0.0,0.0,True
standard|protect|strong|standard,260.3467308800001,9837.440660000002,0.016632,0.05280000000000001,0.05641152000000001,0.05641152000000001,9094.517160000001,9476.091991968004,786.5366600000001,3626.8314076640004,92.19050000000001,1967.3610398933124,92.19050000000001,842.258715957325,955.831286130526,1405.4225655429414,2778.0724595174884,1029.7757699466563,0.0,0.0,0.0,0.0,0.0,True
standard|protect|strong|strong,298.65081568000005,9846.87232,0.004752,0.24000000000000002,0.24361152000000003,0.24361152000000003,809.07232,4928.912087296,809.07232,1633.0402734592,803.6560000000001,1218.7180488816641,97.26032000000002,951.6296408576002,699.5162634398894,948.3752543185407,1676.9589803626204,1011.1870244408323,0.0,0.0,0.0,0.0,0.0,True
standard|protect|strong|protect,768.6132357120001,9369.6215,0.07809600000000001,0.0,0.055128,0.055128,9336.0355,9348.064760320001,9311.231,9325.98149744,72.5335,7241.517812656,60.787500000000016,2934.0093304992006,2488.378805935804,3407.0392939152334,5712.4202653076845,3652.314788124,0.0,0.0,0.0,0.0,0.0,True
standard|protect|protect|gentle,3088.2292076799995,9355.60908,0.3325200000000001,0.0,0.25108800000000003,0.25108800000000003,9327.8006,9339.528767897602,9313.83448,9323.9940482944,9296.3076,9312.4156562496,9286.026,9298.577006361604,5665.925199822661,6567.97092462073,8188.596006898988,9301.714757952,0.0825200000000001,0.0,0.0,0.0,82520.00000000009,False
standard|protect|protect|standard,2328.658799296001,9360.189840000001,0.25108800000000003,0.0,0.12021600000000002,0.12021600000000002,9329.858,9341.828622540803,9311.39984,9323.5271105792,9293.724,9312.2025675648,9051.068000000001,9177.437033216002,4803.413407141498,5798.3799873365,7727.451067300796,9209.02929152,0.0010880000000000334,0.0,0.0,0.0,1088.0000000000334,False
standard|protect|protect|strong,768.6132357120001,9369.6215,0.07809600000000001,0.0,0.055128,0.055128,9336.0355,9348.064760320001,9311.231,9325.98149744,72.5335,7241.517812656,60.787500000000016,2934.0093304992006,2488.378805935804,3407.0392939152334,5712.4202653076845,3652.314788124,0.0,0.0,0.0,0.0,0.0,True
