H,A,S,alpha,scenario_entropy,budget_scale,noise,regime,feasible_fraction,oracle_feasible,best_mean_or_least_violation_mean,least_violation
5,4,24,0.2,0.5560743875377,1.0,0.2,stress_unobservable,0.0,True,151.7759367680132,0.10113956185585446
5,4,24,0.2,0.536891555873753,1.0,0.2,feasible_hard,0.001953125,True,116.28645657144995,0.0
5,4,24,0.2,0.6071263166829379,1.0,0.2,stress_unobservable,0.0,True,162.58010362517632,0.21137605265749732
5,4,24,0.2,0.5930996635894992,1.0,0.2,stress_unobservable,0.0,True,129.44020910613523,0.3330922527340128
5,4,24,0.2,0.7143267484974561,1.0,0.2,stress_unobservable,0.0,True,152.33854714772565,0.2869057135081589
5,4,24,0.2,0.5614458031950228,1.0,0.2,stress_unobservable,0.0,True,133.64367564209442,0.24381997539406244
5,4,24,0.2,0.7417250233244826,1.0,0.2,stress_unobservable,0.0,True,191.42851576709145,0.49451697484308593
5,4,24,0.2,0.5896962059494774,1.0,0.2,stress_unobservable,0.0,True,157.4081186485597,0.23521095733327646
5,4,24,0.2,0.5957281090334542,1.0,0.2,stress_unobservable,0.0,True,132.31133060817132,0.2662118357674116
5,4,24,0.2,0.36828959497716357,1.0,0.2,feasible_hard,0.0048828125,True,89.70286716960568,0.0
5,4,24,0.2,0.6857478804374845,1.0,0.2,stress_unobservable,0.0,True,139.64157080223944,0.2839728424144743
5,4,24,0.2,0.4990470875583208,1.0,0.2,feasible_hard,0.0029296875,True,109.50339472327283,0.0
5,4,24,0.2,0.6626077100921713,1.0,0.2,stress_unobservable,0.0,True,142.82781897547284,0.30523399911436405
5,4,24,0.2,0.6189069825789797,1.0,0.2,stress_unobservable,0.0,True,160.44569434709223,0.36175276723015026
5,4,24,0.2,0.6563750089843029,1.0,0.2,stress_unobservable,0.0,True,179.268556760064,0.36728042415695406
5,4,24,0.2,0.5865351265107809,1.0,0.2,stress_unobservable,0.0,True,163.44541250870918,0.1599450923223572
5,4,24,0.2,0.5838017627895109,1.0,0.2,stress_unobservable,0.0,True,115.12574988426461,0.06589958202339624
5,4,24,0.2,0.5862549911022762,1.0,0.2,stress_unobservable,0.0,True,150.60544315297594,0.12452815752988217
5,4,24,0.2,0.6401700316106042,1.0,0.2,stress_unobservable,0.0,True,179.57970704672553,0.062380788570277346
5,4,24,0.2,0.620214933340466,1.0,0.2,stress_unobservable,0.0,True,154.1307204149904,0.31117412131591826
5,4,24,0.2,0.5880895305180067,1.0,0.2,stress_unobservable,0.0,True,156.31633242067295,0.190151761784001
5,4,24,0.2,0.67100809128384,1.0,0.2,stress_unobservable,0.0,True,169.81990994078564,0.30449134499551156
5,4,24,0.2,0.54858357160278,1.0,0.2,stress_unobservable,0.0,True,97.07638714289249,0.11804546854151837
5,4,24,0.2,0.7705462114560033,1.0,0.2,stress_unobservable,0.0,True,176.6671391283761,0.3704259134675974
5,4,24,0.2,0.6480817215519673,1.0,0.2,stress_unobservable,0.0,True,171.9605651605497,0.34676756128331515
5,4,24,0.2,0.6536971377546776,1.0,0.2,stress_unobservable,0.0,True,158.4163729839779,0.2536892085961462
5,4,24,0.2,0.6256941394632711,1.0,0.2,stress_unobservable,0.0,True,149.89443464493797,0.25671639172337385
5,4,24,0.2,0.6585727613018476,1.0,0.2,stress_unobservable,0.0,True,186.2100875710157,0.20123580342403843
5,4,24,0.2,0.643805406308477,1.0,0.2,stress_unobservable,0.0,True,128.09237062292908,0.14141851232968528
5,4,24,0.2,0.511136639594332,1.0,0.2,feasible_hard,0.0009765625,True,144.0302529669229,0.0
5,4,24,0.2,0.592354169722698,1.0,0.2,stress_unobservable,0.0,True,131.97771708701802,0.1664285894173982
5,4,24,0.2,0.49934475544606677,1.0,0.2,stress_unobservable,0.0,True,140.12055906391132,0.01041220080871677
5,4,24,0.2,0.4416079626424054,1.0,0.2,feasible_hard,0.017578125,True,69.94656032451536,0.0
5,4,24,0.2,0.527763369731253,1.0,0.2,stress_unobservable,0.0,True,138.48610846172954,0.06841320181607419
5,4,24,0.2,0.47921640288373973,1.0,0.2,stress_unobservable,0.0,True,115.8562144701238,0.0179891594906596
5,4,24,0.2,0.6792262280017654,1.0,0.2,stress_unobservable,0.0,True,200.5808592177589,0.19154976412557995
5,4,24,0.2,0.6284298429704803,1.0,0.2,stress_unobservable,0.0,True,122.95858228712972,0.24278499770797912
5,4,24,0.2,0.6069604764020676,1.0,0.2,stress_unobservable,0.0,True,130.3042813368608,0.22893167108901713
5,4,24,0.2,0.6144130278886653,1.0,0.2,stress_unobservable,0.0,True,120.7755792048186,0.23438583839603483
5,4,24,0.2,0.7216625108562184,1.0,0.2,stress_unobservable,0.0,True,151.20603297046537,0.3030429624994136
5,4,24,0.2,0.3158375770439541,1.0,0.2,feasible_hard,0.005859375,True,77.1034409760949,0.0
5,4,24,0.2,0.7349121929639212,1.0,0.2,stress_unobservable,0.0,True,243.64851086100057,0.5191771623224568
5,4,24,0.2,0.6582450695167014,1.0,0.2,stress_unobservable,0.0,True,183.41387816892285,0.19085007030235002
5,4,24,0.2,0.49751200952768265,1.5,0.2,feasible_hard,0.0048828125,True,174.0085323722299,0.0
5,4,24,0.2,0.3560363635636317,1.5,0.2,feasible_hard,0.0126953125,True,56.07426452959125,0.0
5,4,24,0.2,0.6080148072462764,1.5,0.2,stress_unobservable,0.0,True,156.60765105653786,0.05259222858027757
5,4,24,0.2,0.47763567155985603,1.5,0.2,feasible_hard,0.0087890625,True,92.20487137548932,0.0
5,4,24,0.2,0.6035863850021971,1.5,0.2,feasible_hard,0.0048828125,True,160.0843441023329,0.0
5,4,24,0.2,0.6544557008422606,1.5,0.2,stress_unobservable,0.0,True,118.81394782628243,0.058125888373772305
5,4,24,0.2,0.5718605797623023,1.5,0.2,feasible_hard,0.005859375,True,123.63401347801923,0.0
5,4,24,0.2,0.6080008139779007,1.5,0.2,stress_unobservable,0.0,True,165.00818980064673,0.040701085151898075
5,4,24,0.2,0.5671253035020021,1.5,0.2,feasible_hard,0.0107421875,True,106.79733288564793,0.0
5,4,24,0.2,0.5053557703978221,1.5,0.2,feasible_hard,0.001953125,True,109.59817998158081,0.0
5,4,24,0.2,0.6167951189563774,1.5,0.2,feasible_hard,0.0009765625,True,227.897403100439,0.0
5,4,24,0.2,0.5699683100384666,1.5,0.2,feasible_hard,0.0068359375,True,82.71265180088743,0.0
5,4,24,0.2,0.6198824118197201,1.5,0.2,feasible_hard,0.0126953125,True,167.8435727221204,0.0
5,4,24,0.2,0.4872060009654015,1.5,0.2,feasible_hard,0.01953125,True,116.8828885981917,0.0
5,4,24,0.2,0.37912993241323323,1.5,0.2,feasible_hard,0.0205078125,True,105.77154888586642,0.0
5,4,24,0.2,0.6048487250752705,1.5,0.2,feasible_hard,0.0009765625,True,132.78512790932942,0.0
5,4,24,0.2,0.7078377394473659,1.5,0.2,stress_unobservable,0.0,True,208.60303130952775,0.1202892859120619
5,4,24,0.2,0.6366098196581037,1.5,0.2,feasible_hard,0.0078125,True,174.11923350618014,0.0
