sequence,mean,worst,var01,cvar01,var05,cvar05,var10,cvar10,var25,cvar25,wowa_mild,wowa_balanced,wowa_severe,robust20,prob_catastrophic,prob_degraded,prob_shortage,viol_catastrophic,viol_degraded,viol_shortage,violation_score,feasible
reboot_C|noop|reboot_C|reboot_A|reboot_B|noop,267.75,434.0,434.0,434.0,434.0,434.00000000000006,434.0,434.00000000000006,419.0,426.5,295.4320504757561,336.0595983246835,387.4422024623804,428.37500000000006,0.375,0.625,0.625,0.3,0.325,0.325,1055000.0,False
reboot_C|noop|reboot_C|reboot_A|reboot_B|reboot_A,241.25,405.0,405.0,405.0,405.0,405.0,405.0,405.0,340.0,372.5,269.63390735600416,308.9715284215234,353.37893296853633,380.625,0.125,0.625,0.25,0.05,0.325,0.0,327500.0,False
reboot_C|noop|reboot_C|reboot_A|reboot_B|reboot_B,273.75,440.0,440.0,440.0,440.0,440.0,440.0,440.0,425.0,432.5,301.4320504757561,342.0595983246836,393.4422024623803,434.375,0.375,0.625,0.625,0.3,0.325,0.325,1055000.0,False
reboot_C|noop|reboot_C|reboot_A|reboot_B|reboot_C,241.25,405.0,405.0,405.0,405.0,405.0,405.0,405.0,390.0,397.5,273.3247265585273,317.65926589929086,366.6626766985865,399.375,0.125,0.625,0.25,0.05,0.325,0.0,327500.0,False
reboot_C|noop|reboot_C|reboot_A|reboot_B|reboot_D,241.25,390.0,390.0,390.0,390.0,390.0,390.0,390.0,355.0,372.5,263.33317727293036,296.9033804908875,341.9260145918833,376.875,0.125,0.375,0.5,0.05,0.07500000000000001,0.2,292500.0,False
reboot_C|noop|reboot_C|reboot_A|reboot_C|noop,265.25,469.0,469.0,469.00000000000006,469.0,469.00000000000006,469.0,469.00000000000006,434.0,451.5,313.1980325619905,376.22494800932185,433.6756725946193,455.87500000000006,0.375,0.625,0.625,0.3,0.325,0.325,1055000.0,False
reboot_C|noop|reboot_C|reboot_A|reboot_C|reboot_A,253.75,440.0,440.0,440.0,440.0,440.0,440.0,440.0,405.0,422.5,298.4725233253082,356.80628423405244,408.25866393068867,426.875,0.125,0.625,0.625,0.05,0.325,0.325,555000.0,False
reboot_C|noop|reboot_C|reboot_A|reboot_C|reboot_B,243.125,440.0,440.0,440.0,440.0,440.0,440.0,440.0,405.0,422.5,285.58677076132096,342.23995144360913,397.67954856361155,426.875,0.125,0.625,0.25,0.05,0.325,0.0,327500.0,False
reboot_C|noop|reboot_C|reboot_A|reboot_C|reboot_C,271.25,475.0,475.0,475.0,475.0,475.0,475.0,475.0,440.0,457.5,319.19803256199043,382.2249480093218,439.6756725946193,461.875,0.375,0.625,0.625,0.3,0.325,0.325,1055000.0,False
reboot_C|noop|reboot_C|reboot_A|reboot_C|reboot_D,243.125,440.0,440.0,440.0,440.0,440.0,440.0,440.0,405.0,422.5,285.58677076132096,342.23995144360913,397.67954856361155,426.875,0.125,0.625,0.25,0.05,0.325,0.0,327500.0,False
