sequence,mean,worst,var01,cvar01,var05,cvar05,var10,cvar10,var25,cvar25,wowa_mild,wowa_balanced,wowa_severe,robust20,prob_catastrophic,prob_degraded,prob_shortage,viol_catastrophic,viol_degraded,viol_shortage,violation_score,feasible
noop|reboot_A|reboot_D|noop|reboot_A|reboot_D,183.375,349.0,349.0,349.0,349.0,348.99999999999994,349.0,348.99999999999994,349.0,349.0,210.69029142680165,251.1731932137076,302.84860921112636,349.00000000000006,0.25,0.25,0.25,0.0,0.0,0.0,0.0,True
noop|reboot_A|reboot_D|noop|reboot_B|noop,204.875,343.0,343.0,343.0,343.0,343.0,343.0,343.0,308.0,325.5,231.33515679503486,268.9159949839352,309.0972412220702,329.875,0.25,0.5,0.5,0.0,0.0,0.0,0.0,True
noop|reboot_A|reboot_D|noop|reboot_B|reboot_A,189.625,314.0,314.0,314.0,314.0,314.0,314.0,314.0,299.0,306.5,212.80186532298407,246.62568186470523,284.4445964432284,308.375,0.25,0.25,0.25,0.0,0.0,0.0,0.0,True
noop|reboot_A|reboot_D|noop|reboot_B|reboot_B,210.875,349.0,349.0,349.0,349.0,348.99999999999994,349.0,348.99999999999994,314.0,331.5,237.33515679503483,274.9159949839352,315.0972412220703,335.87500000000006,0.25,0.5,0.5,0.0,0.0,0.0,0.0,True
noop|reboot_A|reboot_D|noop|reboot_B|reboot_C,189.625,299.0,299.0,299.0,299.0,299.0,299.0,299.0,279.0,289.0,211.63741584318396,243.1330003049821,276.4390104879161,291.5,0.25,0.375,0.25,0.0,0.0,0.0,0.0,True
noop|reboot_A|reboot_D|noop|reboot_B|reboot_D,189.625,349.0,349.0,349.0,349.0,348.99999999999994,349.0,348.99999999999994,264.0,306.5,214.76527944729054,250.08335550607165,291.52678978568173,317.125,0.25,0.25,0.25,0.0,0.0,0.0,0.0,True
noop|reboot_A|reboot_D|noop|reboot_C|noop,192.375,343.0,343.0,343.0,343.0,343.0,343.0,343.0,343.0,343.0,217.6506057941721,255.95083422849385,304.0864113087095,343.0,0.25,0.25,0.375,0.0,0.0,0.0,0.0,True
noop|reboot_A|reboot_D|noop|reboot_C|reboot_A,177.125,314.0,314.0,314.0,314.0,314.0,314.0,314.0,299.0,306.5,199.181924349437,233.45278112435875,277.0135658914729,308.375,0.25,0.25,0.125,0.0,0.0,0.0,0.0,True
noop|reboot_A|reboot_D|noop|reboot_C|reboot_B,179.0,314.0,314.0,314.0,314.0,314.0,314.0,314.0,299.0,306.5,200.11244088214022,232.68694301780363,275.01288189694486,308.375,0.25,0.25,0.25,0.0,0.0,0.0,0.0,True
noop|reboot_A|reboot_D|noop|reboot_C|reboot_C,198.375,349.0,349.0,349.0,349.0,348.99999999999994,349.0,348.99999999999994,349.0,349.0,223.65060579417207,261.9508342284939,310.08641130870956,349.00000000000006,0.25,0.25,0.375,0.0,0.0,0.0,0.0,True
noop|reboot_A|reboot_D|noop|reboot_C|reboot_D,183.375,349.0,349.0,349.0,349.0,348.99999999999994,349.0,348.99999999999994,314.0,331.5,209.25815346734083,247.9279216577324,297.7813497492021,335.87500000000006,0.25,0.25,0.25,0.0,0.0,0.0,0.0,True
noop|reboot_A|reboot_D|noop|reboot_D|noop,183.625,413.0,413.0,413.0,413.0,413.0,413.0,413.0,308.0,360.5,219.40017322422446,271.2705030079513,334.52245782033754,373.625,0.125,0.375,0.375,0.0,0.0,0.0,0.0,True
noop|reboot_A|reboot_D|noop|reboot_D|reboot_A,174.625,384.0,384.0,384.0,384.0,384.00000000000006,384.0,384.00000000000006,314.0,349.0,208.10033232701775,256.94115946637885,316.469220246238,357.75000000000006,0.125,0.25,0.25,0.0,0.0,0.0,0.0,True
noop|reboot_A|reboot_D|noop|reboot_D|reboot_B,168.375,384.0,384.0,384.0,384.0,384.00000000000006,384.0,384.00000000000006,264.0,324.0,199.4123780330067,244.75611126301112,302.0853853169175,339.00000000000006,0.125,0.25,0.125,0.0,0.0,0.0,0.0,True
noop|reboot_A|reboot_D|noop|reboot_D|reboot_C,174.625,384.0,384.0,384.0,384.0,384.00000000000006,384.0,384.00000000000006,279.0,331.5,207.10392756185192,254.18146670893265,311.36206110351117,344.62500000000006,0.125,0.375,0.25,0.0,0.0,0.0,0.0,True
noop|reboot_A|reboot_D|noop|reboot_D|reboot_D,189.625,419.0,419.0,419.00000000000006,419.0,419.00000000000006,419.0,419.00000000000006,314.0,366.5,225.40017322422443,277.27050300795133,340.5224578203375,379.62500000000006,0.125,0.375,0.375,0.0,0.0,0.0,0.0,True
